Year,Month,Tin,Tout
1911,1,4.171794,1.2136065
1911,2,3.6749485,-1.1479413
1911,3,1.0094484,1.4881328
1911,4,-0.46533728,-0.62613823
1911,5,1.6122566,0.047590215
1911,6,2.0231599,0.82228738
1911,7,-0.5732349,-0.72795747
1911,8,0.087203901,-0.90715447
1911,9,2.9529251,0.1787509
1911,10,1.4699785,-1.1712009
1911,11,-2.5317211,-2.6843931
1911,12,1.705792,-0.43474337
1912,1,-2.5900524,-2.3219047
1912,2,-2.7373043,-1.068096
1912,3,-2.5609847,-3.3563618
1912,4,0.79151325,-0.52216881
1912,5,0.9460511,-0.15736714
1912,6,-1.4048264,-0.95781668
1912,7,0.082130911,-1.1309093
1912,8,-0.21527357,-1.3282121
1912,9,1.2741152,-1.6946153
1912,10,1.1059506,-0.82150156
1912,11,-1.2527462,0.57405844
1912,12,0.56122891,0.52325972
1913,1,4.4597221,-0.4119403
1913,2,-0.49905963,-2.8387506
1913,3,-0.37248154,-2.0283894
1913,4,-0.53748181,0.30492235
1913,5,0.33276099,-0.33810756
1913,6,0.46687539,-0.42978635
1913,7,0.91303106,-0.86423566
1913,8,1.227288,0.50711878
1913,9,-0.43433767,-0.58843237
1913,10,-0.86577488,-1.5108534
1913,11,1.6098272,1.7937756
1913,12,1.1420089,0.51971824
1914,1,3.3236856,2.7832724
1914,2,-1.7002078,-2.4338276
1914,3,-2.1456371,-0.12399331
1914,4,0.024609454,-0.10131255
1914,5,0.64022483,0.43454631
1914,6,2.7993829,-0.2709417
1914,7,0.85201245,0.039638745
1914,8,0.20283454,-0.33361803
1914,9,-0.24923643,0.046476574
1914,10,0.82691789,0.6621061
1914,11,-0.14635589,1.1067427
1914,12,-2.5488019,-3.0510493
1915,1,0.24255984,-0.50881818
1915,2,1.8198287,1.0873682
1915,3,-4.7292907,-1.9330899
1915,4,1.2762706,2.066616
